empresa,fornecedor,data,valor
1d7a,288c,2019-11-07,1338.09
85ae,4d6e,2019-02-12,4400.00
00f0,c4ca,2019-07-03,20.10
e1c9,6364,2019-05-27,200.00
3f8c,e49b,2019-09-05,590.00
1833,9461,2019-10-15,476.00
52db,4ba2,2019-02-06,296.37
05dc,0e18,2019-02-07,1010.79
e420,959a,2019-12-30,100.00
fedd,b99d,2020-01-06,1227.00
00f0,cbb6,2019-08-23,5.10
cae0,2056,2019-05-24,6.00
e1fc,f40e,2019-12-16,42.08
dce8,1377,2019-01-15,1681.03
6812,a1d3,2019-07-16,75.00
258b,c4ca,2019-11-21,632.00
e420,8fec,2019-06-28,102.00
b9e0,4d6e,2019-12-30,240.00
7b56,5e38,2019-06-28,489.00
f658,6364,2019-11-07,693.00
112e,d07e,2019-03-08,1610.52
433a,3e89,2019-08-02,2230.00
07dc,75eb,2019-02-04,944.78
9f10,81dc,2019-02-18,250.00
e045,b06f,2019-11-21,793.48
6054,2d1b,2019-07-08,854.65
5f01,a34b,2019-02-28,34.37
d365,2772,2019-10-10,100.00
d2e9,c4ca,2019-09-30,55.00
fb1f,9c19,2019-04-05,960.03
579c,5f0f,2019-03-29,1177.82
b529,06fe,2019-06-21,9.00
41f6,5e38,2019-06-28,604.20
ba19,c254,2020-01-15,426.31
7020,3ef8,2019-08-20,530.00
6175,8d31,2019-01-02,783.20
0b5e,3e89,2019-03-21,250.00
bb6d,08d9,2019-05-15,1860.07
40ee,f3b7,2019-02-06,2333.02
6175,8d31,2019-12-27,1400.00
9f10,7c58,2019-02-07,980.10
f658,a884,2019-02-20,468.00
f150,d840,2019-11-28,1166.04
7b56,5e38,2019-03-29,693.00
5ccb,740a,2019-03-29,1195.81
e019,e171,2019-02-07,875.54
cba4,da0b,2019-11-25,608.48
ba19,4ba2,2019-05-30,789.00
7ff4,d07e,2019-04-16,481.40
f658,6d0f,2019-06-19,440.92
38a8,2056,2019-05-13,372.80
df60,991d,2019-07-08,1616.55
916a,3e89,2020-01-06,106.00
221e,d840,2020-01-21,480.00
ba19,cdc0,2019-02-28,127.12
258b,912d,2019-10-07,795.66
2420,a34b,2019-11-29,590.00
26eb,40db,2020-01-08,370.00
5d09,c254,2019-12-16,976.60
c852,818d,2019-12-16,537.52
112e,d07e,2019-01-02,1024.27
188c,310c,2019-02-11,8.40
221e,d840,2019-07-04,514.26
a948,c4ca,2020-01-16,989.10
6812,556f,2019-03-01,3527.55
f658,3d2d,2019-06-06,501.43
11d2,d736,2019-05-10,2020.75
f150,4ba2,2019-03-26,299.66
e654,8682,2019-09-05,270.00
4a1e,618b,2019-10-04,225.10
9119,2284,2019-01-16,3648.54
55d3,4ba2,2019-12-19,61.49
669c,f106,2019-08-30,660.00
7b56,5e38,2019-10-16,3000.00
7b56,4ba2,2019-02-14,541.10
5aae,6065,2019-12-20,957.05
1159,a34b,2019-11-01,632.00
cb4a,c4ca,2019-01-22,5.00
221e,b99d,2019-12-19,437.22
7b56,b1ee,2019-05-29,524.00
221e,4ba2,2019-04-17,409.20
7e1e,4d6e,2020-01-16,622.00
f658,6065,2019-06-19,482.12
55d3,4ba2,2019-10-31,586.33
7020,3417,2020-01-15,426.22
f949,3ef8,2019-11-29,338.01
9209,a1d3,2019-10-07,1940.10
188c,685a,2019-01-10,2045.53
221e,d840,2019-11-19,520.00
26eb,b5b1,2019-08-16,710.08
2420,4afd,2019-12-20,100.00
b9e0,2288,2019-09-20,150.00
dce8,7f16,2019-08-07,852.14
f658,821f,2019-06-19,290.00
55d3,b99d,2019-11-29,737.00
e055,6f61,2019-07-26,16540.00
b777,88ae,2019-06-03,294.59
433a,3e89,2019-08-12,2070.00
bc77,460b,2020-01-10,164.50
eb47,20b5,2019-02-28,921.20
579c,ccb0,2019-04-15,419.24
7a09,b99d,2019-09-03,200.00
a58c,3f67,2019-05-16,639.10
ba19,73f9,2019-09-02,610.00
2420,5ef6,2019-11-01,8700.28
52db,4ba2,2019-12-23,408.40
ba19,185e,2019-03-29,1522.65
9153,cbb6,2019-01-08,928.22
c852,1bec,2019-09-16,17.50
c627,cf98,2019-09-02,2226.00
e420,8fec,2019-11-29,1136.89
caca,9ee7,2019-04-05,656.17
5aae,c4ca,2019-10-07,800.00
f658,5e38,2019-05-07,921.18
d22f,cfcd,2019-05-09,819.58
188c,991d,2019-06-07,1078.30
d365,cdc0,2019-01-21,70.00
1833,ed42,2019-04-17,586.00
bd8e,48f7,2019-09-27,2932.67
e045,c4ca,2019-05-17,533.15
3183,d490,2019-09-06,3769.21
1f21,6d0f,2019-12-13,807.30
1f21,20b5,2020-01-14,1224.91
4a36,fb26,2019-04-05,127.14
52db,d840,2019-09-06,505.84
f150,4ba2,2019-11-28,512.50
1d7a,c0e9,2019-03-11,129.00
1d7a,2d1b,2019-02-01,869.95
f658,c4ca,2019-06-06,434.95
193e,912d,2019-06-03,3.70
3559,4918,2019-02-06,4670.25
188c,747d,2019-03-07,1497.28
ba19,3e89,2019-07-15,850.10
e1c9,9c19,2019-08-26,575.29
1d7a,2288,2019-10-07,1000.89
f150,f40e,2019-10-23,107.00
c852,addf,2019-10-15,384.00
e1c9,dc82,2019-11-26,4418.82
ba19,3ef8,2019-09-13,602.54
579c,0cb9,2019-01-31,582.33
414f,310c,2019-01-04,2340.01
e420,912d,2019-11-29,1038.56
112e,d07e,2019-05-09,1875.11
9f10,3d8e,2019-11-29,918.91
e045,b06f,2019-11-29,1423.00
ba19,d6c6,2019-09-13,880.20
ba19,3417,2019-03-29,824.67
f658,e340,2019-11-11,30.00
1833,e945,2019-06-06,1637.04
caca,f58c,2019-02-28,297.16
caca,b59c,2019-07-01,656.17
dce8,ed42,2019-11-29,288.00
8079,27ed,2019-12-02,994.88
e654,a501,2019-12-20,508.67
6175,2387,2019-09-13,430.28
dce8,4d6e,2019-10-29,500.00
ba19,e49b,2019-08-30,3501.42
ba19,2d1b,2019-09-06,307.18
24ce,912d,2019-10-04,1133.65
1833,9461,2019-07-04,385.21
c852,b5b8,2019-10-18,950.00
f658,66f0,2019-12-19,574.79
221e,4ba2,2020-01-07,307.72
188c,6d0f,2019-07-08,700.00
4a1e,07e1,2019-10-04,360.10
c852,1e48,2019-11-18,346.71
221e,7cce,2019-11-06,780.50
9209,8e68,2019-06-05,576.33
188c,07c5,2019-04-30,1706.50
d365,2d1b,2019-09-30,139.91
eb47,d490,2020-01-20,280.00
2443,9cd0,2019-11-06,1241.26
ba19,cdc0,2019-12-20,997.17
b529,f58c,2019-09-09,125.80
1833,912d,2019-07-05,200.00
d365,03f5,2019-12-20,58.00
112e,6fab,2019-06-24,0.67
dce8,4ba2,2019-05-16,214.91
f658,f106,2019-04-05,684.00
1b4f,912d,2020-01-06,830.73
b7bb,2468,2019-08-06,1049.13
9119,8fec,2019-11-29,101.21
ee20,2288,2019-11-29,551.78
a4ae,c16a,2019-09-25,2582.09
f5ba,250d,2019-07-05,514.32
cae0,dfb8,2019-01-04,1289.00
9fe3,a884,2019-02-01,941.00
11d2,c4ca,2019-12-30,1407.58
52db,4ba2,2019-03-07,522.06
f658,2288,2019-08-07,140.72
ba19,c16a,2019-10-15,635.10
6175,912d,2019-12-16,200.00
6af3,9e82,2019-11-22,300.00
073a,f106,2019-09-02,1293.10
cae0,4e2e,2019-04-10,16.00
b529,806b,2019-07-16,645.00
f658,c4ca,2020-01-21,1610.00
f658,20b5,2019-02-11,500.00
7264,5c64,2019-01-21,36.82
221e,4ba2,2019-02-21,413.28
9f10,9461,2019-08-19,31.05
6812,b59c,2019-07-16,74.12
e997,e340,2019-08-01,1281.10
1d7a,4d6e,2019-08-13,1165.57
b5a0,c4ca,2020-01-06,1796.83
e997,e487,2019-11-20,170.00
53cf,9cd0,2020-01-07,370.00
221e,d840,2019-06-06,1810.34
641c,4d05,2019-12-11,1050.00
258b,a3ab,2019-10-21,829.20
4a82,5d0c,2019-11-29,1478.97
7ff4,d07e,2019-12-27,641.12
5ccb,7302,2019-01-08,624.69
0b5e,03f5,2019-09-20,429.26
ac6a,f106,2020-01-20,168.63
0a54,faac,2019-05-15,3501.70
188c,2288,2019-10-03,245.80
ba19,f106,2019-07-15,516.22
02a6,43cf,2020-01-08,869.34
40ee,b99d,2020-01-03,1033.11
2394,192f,2019-01-15,549.00
f658,6065,2019-09-05,613.21
579c,ccb0,2019-04-18,1659.74
5aae,20b5,2019-03-07,542.51
caca,185e,2019-11-06,728.00
740a,5807,2019-10-01,2207.38
9209,16a5,2019-09-06,600.00
00f0,2974,2019-03-06,100.00
7b56,8424,2019-02-14,303.10
0a54,b5dc,2019-02-28,3791.03
5e19,2056,2019-11-21,653.47
6175,4e9c,2019-12-27,1490.00
10d0,5e38,2019-05-07,367.00
3343,5ef6,2019-12-05,1990.10
dce8,ec8b,2019-09-06,1377.72
30cf,03af,2019-11-29,545.04
ba19,c4ca,2019-03-29,253.14
f658,f106,2019-08-06,567.85
34fd,2468,2019-12-09,1950.44
caca,f58c,2019-10-18,436.21
9f10,b5a1,2019-11-13,53.80
dce8,3eb2,2020-01-20,773.43
caca,9ee7,2019-07-19,512.36
97e2,9271,2019-05-10,4999.90
4a1e,50a0,2019-12-23,400.00
24ce,912d,2019-01-08,1286.97
2c7e,25e2,2019-06-13,1045.20
9f10,7c58,2019-09-12,28.81
1bda,5e38,2019-02-13,230.10
38a8,4191,2019-08-07,674.82
00f0,2288,2019-08-19,395.32
c852,4dbf,2019-01-17,135.00
f658,4e2e,2019-10-30,4009.00
188c,1355,2019-04-05,49.12
e569,e584,2019-10-14,2.69
f1b9,c4ca,2019-04-01,1646.59
52db,d840,2019-09-23,618.98
d6a9,50a0,2019-11-01,494.10
ab4f,4d6e,2019-11-29,1591.00
e1c9,b7ee,2019-03-18,821.38
c627,d594,2019-10-29,1500.00
4a36,fb26,2019-06-05,1079.99
dce8,d77f,2019-10-22,699.23
6175,4d6e,2019-10-31,370.35
188c,f106,2019-01-08,1476.40
6812,2288,2019-03-29,754.88
b529,03f5,2019-09-06,21.98
9119,5e38,2019-11-29,636.78
2420,c16a,2019-12-03,0.37
b615,f106,2019-04-17,9.60
5aae,d68a,2019-03-07,589.99
7ff4,5e38,2019-06-27,907.75
ba19,4191,2019-03-15,1180.10
ec10,c4ca,2019-12-09,60.00
f658,cbb6,2019-11-06,340.00
433a,2468,2019-07-16,704.46
1d7a,3e89,2019-04-09,5386.88
9f10,d494,2020-01-10,394.10
433a,60a7,2019-12-05,219.57
1833,912d,2019-09-16,433.00
b529,1209,2019-02-28,500.75
221e,4ba2,2019-01-21,409.20
cae0,27ed,2019-04-02,1599.66
cae0,c16a,2019-02-04,687.63
a58c,e340,2019-07-16,422.00
1833,912d,2019-05-17,200.00
433a,07c5,2019-11-20,476.50
b777,fc8f,2019-07-08,1046.62
c852,1bec,2019-01-14,10.00
ec10,3d2d,2019-11-19,50.00
2420,c16a,2019-09-26,150.00
e654,5574,2019-11-01,149.80
1b4f,192f,2019-04-17,3.33
e045,b06f,2019-06-18,663.39
d365,29c0,2019-09-06,1560.00
7b56,5e38,2019-02-28,291.40
2420,a884,2019-03-11,1066.73
2c7e,0d31,2019-11-29,574.68
e997,cdc0,2019-12-30,1153.10
f658,250c,2019-05-09,115.00
0b5e,f3b7,2020-01-07,1715.98
ba19,3a20,2019-09-30,68.38
25aa,2056,2019-04-16,180.00
24ce,912d,2019-11-29,746.71
ec10,3332,2019-12-30,48.88
7b56,f6e7,2019-01-30,2728.86
ac6a,20b5,2020-01-20,469.16
2804,c4ca,2019-07-22,2310.40
2981,2288,2019-07-15,419.24
10d0,ce75,2019-10-07,375.00
6175,d96e,2019-03-06,500.00
10d0,ce75,2019-05-07,375.00
7b56,5e38,2019-02-14,420.10
7b56,5e38,2019-01-29,636.00
857b,3e89,2019-05-07,1471.38
f658,53e3,2020-01-08,100.00
bf3b,46d3,2019-11-19,20.10
b777,ef84,2019-05-07,1205.00
ec12,5e38,2019-05-09,65.76
e1c9,6364,2019-11-26,142.00
857b,192f,2019-12-04,1217.09
d365,3e89,2019-08-30,1028.40
9209,5574,2019-08-06,1140.00
669c,20b5,2019-04-15,930.10
00f0,e340,2019-06-21,381.94
f658,821f,2019-01-30,350.00
dce8,8d31,2019-12-19,1045.00
579c,ccb0,2019-02-28,1044.71
1833,f106,2019-04-16,100.00
e569,c16a,2019-09-23,718.20
40ee,4ba2,2019-11-04,993.57
ba19,03f5,2019-12-13,426.31
6812,5e38,2019-01-30,4396.05
3559,0e18,2019-03-08,599.42
221e,d840,2019-03-08,200.00
f658,2056,2019-12-10,192.00
1d7a,d594,2019-07-19,636.40
221e,4ba2,2019-11-27,513.48
c852,495d,2019-02-11,79.00
6812,1209,2019-05-29,1081.75
f150,d840,2019-09-24,585.36
2443,a34b,2019-08-20,68.62
cae0,2056,2019-11-04,300.00
1833,912d,2019-11-14,433.00
6175,20b5,2019-07-31,158.40
5579,a884,2019-11-29,1302.00
ba19,03f5,2019-12-13,651.57
f658,ed42,2019-05-07,170.00
52db,d840,2019-12-19,437.22
cae0,d77f,2019-08-02,1479.59
f658,f106,2019-02-22,880.00
f9a4,a34b,2020-01-06,166.64
f658,6364,2019-05-17,2.00
caca,8d31,2019-03-08,509.06
ee57,29c0,2019-11-01,501.10
f5ba,ea81,2019-04-08,1006.87
77a4,27ed,2019-12-06,1355.01
e997,e137,2019-06-28,1742.10
579c,3614,2019-06-28,1889.24
e654,c4ca,2019-11-11,569.17
6175,08e6,2019-05-30,6908.00
cae0,ea96,2020-01-03,1608.14
42e7,3e31,2019-10-21,248.39
d365,9e82,2019-01-07,92.10
579c,ccb0,2019-03-15,1309.65
cba4,c4ca,2019-12-09,1049.35
9209,0307,2019-09-05,970.00
cba4,d18f,2019-10-04,956.99
6175,2812,2019-12-19,420.00
188c,c4ca,2019-09-06,500.00
41f6,3d3d,2019-08-16,1796.10
b615,a884,2019-11-20,888.00
6175,912d,2019-12-27,500.00
916a,3e89,2019-04-25,350.00
7b56,5e38,2019-01-29,636.00
ba19,3ef8,2019-08-14,577.50
c4b5,03f5,2019-02-15,391.21
54e2,d594,2019-03-18,80.00
9322,3e89,2019-04-12,995.35
ba19,5e38,2019-11-29,519.24
221e,b99d,2019-01-21,409.20
e045,2288,2019-12-06,1054.50
b6e4,685a,2019-08-01,300.00
4270,a385,2019-06-10,1644.00
6558,c4ca,2019-11-20,400.00
11d2,3332,2019-10-07,3421.84
84c8,3e89,2019-11-29,731.07
0a64,6065,2019-07-15,378.00
55d3,4ba2,2019-06-14,699.00
579c,ccb0,2019-02-15,540.89
c0a0,2288,2019-06-05,868.24
df60,192f,2019-09-09,896.45
dce8,250d,2019-03-20,732.00
30f3,85fc,2019-04-15,242.07
e1c9,d142,2019-11-05,393.30
669c,3f67,2019-07-01,4228.20
00f0,c4ca,2019-10-07,30.45
579c,19b6,2019-01-31,871.44
92d6,42cd,2019-05-17,1235.40
b529,1209,2019-08-16,709.51
1833,29c0,2019-11-25,674.24
d22f,f93f,2019-05-13,90.00
f658,0531,2019-12-19,1262.00
caca,185e,2019-06-19,512.36
b529,991d,2019-05-17,600.00
0e58,afd4,2019-04-18,526.00
54e2,d490,2019-12-17,1839.58
1d7a,cdc0,2019-12-04,212.71
6af3,6d0f,2019-12-30,890.00
1d7a,5807,2019-04-01,949.00
f658,c4ca,2019-09-05,510.73
188c,3332,2019-08-06,1224.86
30a4,5d61,2019-09-19,775.40
433a,19ec,2019-12-06,350.00
c852,19ec,2019-07-29,50.00
c20a,e6be,2019-12-06,1650.00
c4b5,020c,2019-01-08,3954.27
b529,7302,2019-07-09,156.99
cf65,60a7,2020-01-20,591.47
2804,a34b,2020-01-13,2773.83
e1c9,6364,2019-02-07,585.00
6558,e6be,2019-09-02,161.80
cba4,b1ee,2019-07-05,1091.44
e1c9,6364,2019-01-25,408.77
dce8,1209,2020-01-09,494.62
6175,5e9f,2019-01-02,2386.88
f150,4ba2,2019-03-26,403.20
2420,7302,2019-10-07,1184.20
f658,2056,2019-02-07,300.00
6175,8d31,2019-06-05,1595.14
f640,2d1b,2019-12-06,1139.01
d365,c16a,2019-06-27,252.15
0b5e,a1f0,2019-11-20,1990.00
7020,3769,2019-07-30,659.31
11d2,747d,2019-10-10,830.40
e1c9,f15d,2019-05-27,546.10
cacc,192f,2019-05-07,170.00
ba19,4d6e,2019-08-30,620.75
52db,c4ca,2020-01-21,417.19
1833,ed42,2019-10-07,700.82
ab4f,1377,2019-09-16,197.00
ab4f,020c,2019-06-03,957.00
b878,a1d3,2019-07-08,472.33
6175,4ba2,2019-05-30,134.10
c852,fb26,2020-01-16,48.00
6175,2056,2020-01-23,619.06
00f0,912d,2020-01-20,91.00
b615,a36e,2019-05-10,854.00
30f3,cbb6,2019-07-15,500.41
b615,ec8b,2019-06-24,1320.00
1833,912d,2019-08-08,919.92
dce8,f26d,2019-07-22,491.00
5aae,4ba2,2019-10-14,50.00
c4b5,03f5,2019-07-05,335.00
8ec3,e6cb,2019-11-01,2297.67
f311,c4ca,2019-12-06,92.30
7b56,1e51,2019-02-28,297.00
ba19,8424,2019-01-21,2505.22
5579,5c50,2019-07-19,3000.00
1833,2d1b,2019-11-07,418.18
41f6,a34e,2019-11-14,429.38
25aa,fc8f,2019-03-29,1343.00
5ccb,a1f0,2019-02-07,1976.97
3631,2056,2019-07-15,769.00
0b5e,03f5,2019-06-21,408.16
2c25,f220,2019-12-10,410.00
7ff4,d07e,2019-09-20,39.59
ad81,b59c,2019-12-11,1512.00
4e5a,2d1b,2020-01-08,200.00
dce8,912d,2019-07-22,761.16
cba4,e340,2019-08-19,356.00
2420,991d,2019-05-09,885.40
414f,e340,2019-07-02,363.00
2394,2d1b,2019-02-01,1769.73
4270,3a20,2020-01-09,1715.43
ac6a,4d6e,2019-12-20,469.16
f658,f29c,2019-12-06,235.00
f658,c4ca,2020-01-07,265.00
7020,3417,2019-08-16,426.22
8e5f,7cce,2020-01-14,160.00
b704,b8b4,2019-10-07,795.41
9706,84f0,2019-09-05,1082.00
6175,d594,2019-07-31,822.73
f658,7cce,2019-02-07,870.00
669c,991d,2019-02-13,85.11
f328,c4ca,2019-12-30,1136.10
414f,03f5,2019-06-19,200.00
f70d,020c,2019-04-05,775.00
6175,d96e,2019-10-10,970.00
433a,2468,2019-01-21,444.79
221e,4ba2,2019-11-18,1092.39
ce9e,c4ca,2019-11-11,964.90
ba19,8424,2019-10-30,703.31
ba19,6d0f,2019-10-15,892.30
f70d,3f67,2019-09-02,1000.00
6eff,8d31,2019-05-08,467.00
0b5e,03f5,2020-01-20,9.00
0b5e,991d,2019-03-06,562.62
d365,c4ca,2019-09-26,90.00
f150,528a,2019-12-12,89.27
f70d,e49b,2019-12-04,245.00
1992,2974,2020-01-06,522.00
188c,c0e9,2019-03-06,1136.59
f150,d840,2019-07-04,522.06
85f3,29c0,2020-01-08,858.13
2394,c16a,2019-04-30,918.43
a58c,3f67,2019-04-04,1344.10
c4b5,1a15,2019-09-20,200.00
b529,f26d,2019-07-03,533.60
1833,6917,2019-08-07,48.98
ba19,a34b,2019-10-01,1181.25
