empresa,fornecedor,data,valor
50d0,4d6e,2019-09-05,531.80
e654,7f5d,2019-12-20,454.49
433a,3e89,2019-08-23,1000.00
cae0,f106,2019-05-13,700.00
b777,e369,2019-11-28,595.41
f658,1f0e,2019-01-21,2.00
cae0,747d,2019-07-08,290.00
40ee,b99d,2019-02-06,872.64
e997,6202,2019-12-30,1128.45
a4ae,2288,2019-05-14,478.01
55d3,c4ca,2019-08-30,544.51
cb4a,9cd0,2019-03-01,840.00
1c9f,459a,2019-11-05,1009.00
b777,4d6e,2019-12-20,49.84
7b56,5e38,2019-08-29,39.63
9f10,db18,2019-06-28,808.23
e997,020c,2019-06-05,531.25
188c,e7f8,2019-04-05,1079.75
ac6a,f106,2020-01-07,292.86
da4d,c16a,2019-07-02,79.20
e654,6cd6,2019-09-02,5912.38
2443,d756,2019-08-05,540.00
414f,43cf,2019-03-06,452.84
40ee,b99d,2019-11-18,73.27
bd8e,48f7,2019-11-14,990.00
e055,4191,2019-05-03,4787.88
ba19,185e,2019-05-30,1045.71
dce8,3eb2,2019-05-07,667.00
d22f,cbb6,2019-11-07,315.00
eb47,d490,2019-11-07,780.00
ac6a,f106,2019-10-04,180.24
9153,7cce,2019-12-06,965.09
b529,ac34,2019-05-16,817.98
cba4,6377,2019-10-03,893.71
f70d,2d1b,2019-04-30,995.00
dce8,2056,2019-07-23,258.54
e1c9,556f,2019-06-10,486.57
9209,d5d7,2019-06-13,3897.23
e997,991d,2019-04-18,90.00
2394,a34b,2019-03-29,822.00
433a,dead,2019-10-28,809.00
2394,60a7,2019-10-15,5.90
f658,2056,2020-01-21,67.00
414f,43cf,2019-01-31,1754.89
50a6,c4ca,2020-01-15,915.54
579c,ccb0,2019-02-15,419.24
1d7a,a36e,2019-08-07,1033.15
f778,c0e9,2019-06-03,800.07
1159,c4ca,2019-10-30,3313.00
cba4,a34b,2019-08-07,1241.71
cba4,109d,2019-10-03,986.79
5069,6d0f,2020-01-21,2005.70
40ee,f3b7,2019-06-05,2521.65
e997,4d6e,2019-07-16,152.00
188c,e7f8,2019-09-06,1128.73
7fbc,2afe,2019-12-27,400.00
6812,3593,2019-06-25,414.00
7b56,8424,2019-09-27,249.50
6175,2056,2019-10-31,144.00
5ccb,2468,2019-07-08,1506.55
e997,2056,2019-11-01,59.00
8ec3,e48e,2019-08-01,1857.87
a58c,3272,2019-11-14,451.71
779f,6d0f,2019-08-06,907.87
9119,4e2e,2019-09-06,834.49
f658,5c64,2019-10-07,100.00
112e,d07e,2019-03-08,1741.66
dab9,c4ca,2019-06-07,4.04
1159,c4ca,2019-04-26,2055.00
5aae,991d,2019-11-05,471.04
cb4a,08d9,2019-03-01,1885.92
cb4a,c4ca,2019-07-03,1884.99
414f,2056,2019-09-03,1177.11
414f,a34b,2020-01-03,810.00
cacc,3e89,2019-10-17,265.00
d22f,49af,2019-09-06,1025.10
2c86,48ab,2019-03-06,3239.18
ac93,c254,2019-05-31,730.00
1159,ac34,2019-10-28,910.00
857b,3e89,2019-08-05,1082.15
3918,6364,2019-05-29,745.00
e569,6065,2020-01-08,1041.62
641c,2d1b,2020-01-16,1184.50
9209,e945,2019-10-09,1934.66
c852,fb26,2019-09-17,15.09
d22f,01ce,2020-01-20,1000.00
f328,2056,2019-05-31,520.00
11d2,cbb6,2019-03-07,170.00
ba19,ce75,2019-10-17,650.00
b615,dc87,2019-09-20,514.00
f150,4ba2,2019-01-21,611.49
1d7a,3769,2019-12-30,7.43
4a82,5c57,2019-11-28,874.07
5f01,a34b,2019-08-30,1305.12
1d7a,50a0,2019-01-02,1199.27
b529,1209,2019-05-03,419.50
ba19,d6c6,2019-12-02,2996.52
9d2c,a34b,2019-04-10,222.00
b615,75eb,2019-02-22,600.40
b87b,d77f,2019-07-31,1011.10
414f,b5b8,2019-02-01,1000.00
9f10,b5a1,2019-10-15,257.65
59b9,6065,2019-05-21,70.00
52db,4ba2,2019-02-21,403.20
f5ba,a34b,2019-03-01,610.00
1d7a,3593,2019-01-02,605.04
11d2,3332,2019-03-08,2533.01
0b5e,f3b7,2019-06-21,423.91
7ff4,d07e,2019-10-17,449.02
e420,32fd,2019-12-30,100.00
c9e1,b5dc,2019-10-04,50.00
6812,5e38,2019-01-22,392.10
d3a7,c4ca,2019-12-02,86.12
f311,4918,2019-05-17,676.10
7b56,1e51,2019-04-15,252.10
2420,20b5,2019-02-22,180.00
6812,c6d6,2019-02-28,2520.38
f70d,27ed,2019-04-04,1809.33
10d0,ea96,2019-08-06,1624.29
e654,ced5,2019-11-29,250.34
7761,d9d4,2019-01-21,416.00
1833,c4ca,2019-09-16,271.00
9f10,b5a1,2019-08-08,194.10
e019,40cc,2019-11-29,173.00
f9a4,185e,2019-12-23,72.29
50a6,2d1b,2019-09-09,447.36
c0a0,912d,2019-03-15,394.56
70b3,020c,2019-09-06,896.38
d22f,61cb,2020-01-09,365.00
e420,912d,2019-07-31,113.00
fb1f,aa36,2019-07-04,174.92
6af3,dc87,2019-09-05,380.00
6812,8724,2019-07-31,562.00
ba19,f106,2019-12-30,782.80
f150,d840,2019-09-24,416.40
0b5e,7302,2019-11-08,715.00
e1c9,aba5,2019-07-25,701.85
7ff4,5e38,2019-10-17,490.76
2420,4afd,2019-06-07,921.70
5ccb,f220,2019-02-07,1890.89
6175,991d,2019-12-23,40.00
cae0,a34b,2019-12-20,783.96
e1c9,6364,2019-02-21,349.38
07dc,afd4,2019-03-29,672.03
e019,40cc,2019-12-16,640.00
4a82,5c57,2019-12-16,1870.75
6812,e9dc,2019-05-31,1323.35
53cf,7cce,2019-12-06,2466.86
ba19,0307,2019-02-15,800.40
6175,d96e,2019-12-09,1151.53
1992,3a20,2020-01-03,588.00
cae0,7302,2020-01-03,859.06
f640,3c33,2019-09-27,1566.51
d3a7,cbb6,2019-10-04,1154.48
cba4,192f,2019-12-09,716.00
7a09,b99d,2019-05-07,1429.20
f150,d840,2019-08-08,206.45
3631,c4ca,2019-11-06,701.47
ba19,afd4,2019-11-27,126.81
f640,0307,2019-07-31,1073.73
a6b3,5f0f,2019-09-30,344.81
221e,d840,2019-10-21,1255.44
258b,c254,2019-02-25,8.82
e352,310c,2019-06-14,760.67
ba19,6065,2019-08-30,668.35
9f10,3530,2019-07-01,84.79
cacc,3e89,2019-09-06,100.00
f1b9,e340,2019-07-01,600.00
5ccb,f106,2019-06-06,400.00
2c7e,806a,2019-10-21,2895.00
221e,4ba2,2019-12-06,166.44
1d7a,e340,2019-03-13,2300.32
1b4f,f40e,2019-04-16,1000.00
f150,55b3,2019-11-19,1990.10
7b56,5e38,2019-05-14,420.10
f658,2288,2019-11-20,300.00
669c,528a,2019-02-04,500.00
4a36,c4ca,2019-01-07,130.10
1833,f106,2019-08-07,712.20
5d09,50a0,2019-04-02,1761.90
10d0,3891,2019-09-04,1288.10
f949,32bb,2019-12-06,864.07
a6b3,8424,2020-01-16,436.87
caca,185e,2019-08-07,719.90
ba19,0887,2019-09-30,1917.77
0b5e,a1f0,2019-06-13,163.00
5ccb,a385,2019-08-30,1777.38
f949,3ef8,2019-12-30,1411.26
6b72,d2ed,2019-01-18,216.00
7190,2288,2019-01-08,800.00
f658,5e38,2020-01-07,41.42
00f0,4e2e,2019-08-06,650.00
1e27,a34b,2019-01-31,1293.56
6812,ea96,2019-08-02,774.10
7020,3417,2019-02-15,382.21
b777,6b62,2019-07-01,40.58
490b,81dc,2019-11-29,1167.84
f328,b5b1,2019-09-30,1375.00
6812,aba5,2019-07-19,500.00
8079,01ce,2019-09-02,157.23
4270,f58c,2019-12-27,888.46
e1c9,250c,2019-10-04,546.10
ce9e,3d2d,2019-04-15,300.00
15b6,2d1b,2019-12-04,709.61
24ce,912d,2019-11-29,8.00
85f3,4d6e,2019-12-19,79.96
a58c,3272,2019-11-04,200.00
1833,ed42,2019-03-01,479.83
221e,4ba2,2019-02-21,433.62
112e,d07e,2019-02-11,1533.55
9119,d580,2019-09-06,1499.25
bd8e,8fec,2019-10-15,1470.00
ac6a,20b5,2019-11-07,147.69
7e1e,0307,2019-03-01,525.82
0293,4ba2,2019-11-13,1035.96
8dd1,8b5c,2019-05-16,229.47
579c,ccb0,2019-03-28,2038.54
7b56,8424,2019-01-30,493.99
85f3,42e7,2020-01-08,205.00
f150,d840,2019-12-19,588.00
1d7a,5807,2019-06-14,850.10
2420,7302,2020-01-08,1079.74
b529,87f7,2019-04-15,1504.50
9d2c,991d,2019-03-08,1171.05
188c,7cce,2019-06-07,569.23
7a09,b99d,2019-02-07,1260.00
490b,0d27,2019-12-30,1249.59
55d3,020c,2019-10-16,629.10
ec1e,f106,2019-08-09,375.82
3925,020c,2019-03-01,8293.01
ba19,03f5,2019-12-13,651.57
10d0,ce75,2019-10-07,369.10
eb47,7302,2019-12-09,900.00
1b4f,912d,2019-07-16,1576.50
f658,b59c,2019-12-03,90.00
ba19,5e38,2019-03-15,577.50
857b,4d6e,2019-06-06,217.00
ba19,6065,2020-01-15,621.74
effd,c4ca,2020-01-02,484.18
f640,2288,2019-07-30,319.30
52db,4ba2,2019-06-06,243.81
c4b5,d594,2019-09-09,1483.00
30cf,f55c,2019-10-01,1358.61
4a82,5c57,2019-11-28,619.71
715e,c16a,2019-07-03,4.10
26eb,6f61,2019-02-15,698.00
8dd1,60a7,2019-10-18,174.50
b529,c4ca,2019-06-17,338.10
bc5d,528a,2019-03-29,1627.00
a80c,5fef,2019-03-01,293.17
26eb,c4ca,2019-05-09,130.00
f9a4,185e,2020-01-06,700.00
e420,c254,2019-01-03,600.00
ca9d,c4ca,2019-11-22,1500.00
4270,f18a,2019-02-11,260.00
b529,5c57,2019-03-18,406.00
1534,9431,2019-04-01,1410.78
857b,cdc0,2019-01-04,812.14
7c87,afd4,2019-03-01,904.18
f640,4d6e,2019-04-02,352.41
12e4,f18a,2019-12-20,369.00
30a4,2288,2019-06-17,636.10
f70d,cdc0,2019-11-01,2076.17
f9a4,1377,2019-12-04,50.00
ba19,03f5,2019-12-30,1380.93
9fe3,e340,2019-06-03,3035.26
3918,6364,2019-04-08,5711.73
414f,3a20,2019-12-19,484.00
2420,d594,2019-09-06,1050.00
ba19,3ef8,2019-07-30,605.14
ba19,5e38,2019-06-17,359.98
f658,bad5,2019-03-06,620.00
ded9,c4ca,2019-06-24,250.00
a181,192f,2019-12-23,3330.00
fbf3,4ba2,2019-06-03,1275.20
f658,84f0,2019-09-06,250.00
ce9e,1355,2019-10-11,509.00
5ccb,9649,2019-03-08,119.35
6b2f,2288,2019-03-27,4152.00
f658,319a,2019-05-22,450.00
cba4,109d,2019-10-04,893.71
41f6,b156,2019-07-15,386.87
1c9f,996a,2019-10-04,1038.41
cba4,109d,2019-10-04,1491.71
ad81,8424,2019-11-07,1380.00
188c,2288,2019-07-10,1139.91
6175,a34b,2019-12-26,189.00
433a,dead,2019-11-13,43.00
e654,6364,2019-11-29,143.10
6eff,a1d3,2019-02-07,444.00
f658,5e38,2019-03-20,550.00
779f,bad5,2019-06-06,207.25
7ff4,d07e,2019-12-27,641.12
54e2,40db,2019-06-13,583.00
40ee,b99d,2019-11-04,1093.82
b529,1209,2019-05-03,314.50
740a,3a83,2019-08-01,968.85
669c,29c0,2019-01-31,194.24
6812,6364,2019-06-21,130.10
f658,7302,2019-02-08,50.00
0a54,29c0,2019-12-20,666.68
6175,0e18,2019-10-31,144.00
579c,0cb9,2019-02-28,455.09
f658,b5b1,2019-09-20,1647.00
ef94,0531,2019-11-25,1743.75
b615,a36e,2019-08-07,807.00
6175,6065,2019-07-02,1101.75
2a91,7302,2019-02-07,0.21
f354,da97,2019-12-06,1375.68
779f,d5e2,2019-09-06,340.00
5f01,f106,2019-12-02,897.35
b704,46d3,2019-08-26,186.00
1b4f,c4ca,2020-01-21,1411.68
dce8,2056,2020-01-09,1175.33
1d7a,4ba2,2019-01-02,752.63
cae0,27ed,2020-01-03,1829.64
9f10,f3b7,2019-02-14,316.63
7b56,4ba2,2019-06-28,1738.07
6175,d96e,2020-01-15,92.00
579c,2b38,2019-03-29,1014.00
24ce,912d,2019-04-05,1140.35
0293,e49b,2019-12-03,342.28
ba19,a34b,2019-03-29,538.95
f658,c4ca,2019-12-20,1614.21
30cf,3a82,2019-12-30,2035.84
30f3,bad5,2019-11-14,242.07
e420,d594,2019-12-13,605.24
f5ba,2056,2019-03-01,1559.36
433a,1e3b,2019-06-06,1440.10
cba4,dfb8,2019-06-06,736.00
ac6a,2056,2019-11-07,490.18
ba19,5e38,2019-12-05,848.12
c627,29c0,2019-09-09,320.00
b529,3d3d,2019-08-01,870.90
7ff4,5e38,2019-05-30,1102.85
a6b3,5e38,2019-10-30,693.39
00f0,a3ab,2019-09-20,490.00
ca9d,c4ca,2019-10-15,875.69
5aae,c4ca,2019-08-12,218.00
9119,1eb5,2019-06-10,1858.23
994a,2974,2019-06-10,33.66
1833,1eb5,2019-05-06,219.31
a4ae,29c0,2019-11-29,512.77
9209,2eb5,2020-01-14,346.00
f328,c16a,2019-11-27,302.81
dce8,03f5,2019-03-01,491.00
f658,6d0f,2019-05-07,900.00
43d0,2056,2019-11-05,591.57
188c,740a,2019-07-05,381.23
54e2,d490,2019-07-12,2489.10
bd8e,3f16,2019-11-21,1560.80
7e1e,d5e2,2019-06-05,130.00
b529,3d3d,2019-01-16,427.93
9119,f3b7,2019-02-11,1959.95
414f,6065,2019-12-03,965.70
ba19,185e,2019-03-15,1875.63
b878,c4ca,2019-08-06,689.10
7478,2e65,2019-01-22,270.00
579c,0cb9,2019-04-15,419.24
9f10,2217,2019-04-12,202.10
f658,c4ca,2019-11-21,521.00
2420,4afd,2019-04-15,19.50
e1c9,250c,2019-06-25,800.00
221e,4ba2,2019-02-21,409.20
ce9e,415e,2019-04-08,5992.00
1833,4c56,2019-07-18,740.00
2a91,4d6e,2019-01-22,146.08
e055,dc82,2019-05-03,2472.16
24ce,912d,2019-06-06,1021.77
07dc,f58c,2019-10-31,680.91
6175,7647,2020-01-08,200.00
c852,9914,2019-08-12,344.20
7b56,8424,2019-03-29,12.41
9119,3ef8,2019-09-12,1986.54
f640,f106,2019-03-22,515.00
ef94,a34b,2019-08-05,508.71
5aae,0e18,2019-11-01,104.40
7b56,5e38,2019-02-28,549.00
e997,c4ca,2019-12-02,700.00
1833,912d,2019-10-15,433.00
3fe2,c16a,2019-11-14,425.00
ec10,460b,2019-12-02,115.80
7ff4,8424,2019-11-22,693.83
0b5e,81dc,2019-10-23,85.84
cba4,109d,2019-10-03,893.71
490b,81dc,2019-06-03,995.97
f150,7cce,2019-02-08,1153.67
6812,aa36,2019-05-14,325.10
5ccb,2335,2019-03-11,1550.64
b529,03f5,2019-08-16,1132.97
414f,6065,2019-05-03,874.33
6812,ea96,2019-08-21,900.00
1b4f,912d,2019-03-01,2448.03
9faf,d490,2019-02-18,462.00
1534,0e14,2019-04-15,352.35
ba19,04ec,2019-01-10,710.69
837c,4afd,2019-08-01,879.10
4a36,3593,2019-06-05,834.70
cba4,2288,2019-06-12,32.26
c0a0,f106,2019-06-19,400.39
2420,a884,2019-10-09,1210.00
5ccb,310c,2019-04-10,1500.00
ec10,3d2d,2019-12-03,4878.16
4a82,5c57,2019-11-29,1146.48
7b56,3e89,2019-03-14,541.10
1534,9431,2019-03-01,2299.31
188c,c16a,2019-06-18,12500.00
7b56,b1ee,2019-12-19,195.00
6175,e137,2019-10-31,750.00
cba4,ec8b,2019-09-09,1234.46
f150,d840,2019-11-07,537.86
b529,03f5,2019-12-24,454.19
43d0,6d0f,2019-07-01,749.10
dce8,912d,2019-05-22,740.00
e055,6f61,2019-09-02,3574.07
0b5e,310c,2019-04-08,295.51
f658,40db,2019-12-18,130.00
bd8e,42cd,2020-01-23,3071.03
f658,2da6,2019-03-11,468.20
e2b6,01ce,2019-07-01,934.10
dce8,ccb0,2019-08-07,904.23
ba19,5e38,2019-02-28,906.91
ca9d,c4ca,2019-10-21,50.00
cae0,4afd,2020-01-23,72.00
b529,afd4,2019-09-02,560.00
5ccb,4afd,2019-07-05,730.00
cacc,3e89,2019-09-06,142.35
433a,2468,2019-07-08,530.56
3369,6202,2019-02-18,168.15
d365,c16a,2019-03-26,110.00
c852,8597,2019-10-15,271.00
9119,6d0f,2019-04-05,0.08
7190,2288,2019-10-04,200.00
f658,c4ca,2019-04-04,1165.45
24ce,912d,2019-12-06,1051.20
dce8,9e82,2019-08-07,782.35
09a0,cdf1,2019-07-30,512.30
85ae,03f5,2019-07-16,2.00
221e,4ba2,2019-04-09,735.66
caca,b59c,2019-05-17,512.36
e055,c4ca,2019-03-06,2034.29
00f0,20b5,2019-11-05,601.61
1833,f106,2019-06-05,499.84
f658,6065,2019-06-19,522.00
f949,fc4d,2019-11-29,609.76
5ccb,20b5,2019-06-06,1350.00
9119,3ef8,2019-12-10,1954.42
579c,50a0,2019-03-29,1228.98
dce8,185e,2019-11-07,923.42
f5ba,0531,2019-10-28,2.88
5f01,6d0f,2019-01-31,868.81
0a54,42cd,2019-12-20,198.99
c852,36f4,2019-01-14,28.00
1159,c4ca,2019-08-14,120.00
b529,f58c,2019-10-01,856.74
ab4f,f40e,2019-08-30,160.00
00f0,192f,2019-09-23,200.00
fd17,4ba2,2019-10-01,430.92
6175,b5b8,2019-08-05,700.00
caca,e49b,2019-06-28,806.83
8079,b5a1,2019-05-06,1483.28
7190,1dfc,2019-12-02,678.00
8fc7,2288,2019-12-02,255.26
10d0,3ef8,2019-04-04,1624.29
2420,7302,2019-11-29,674.00
1833,20b5,2019-02-18,824.00
dce8,b8fd,2019-05-07,58.53
9119,ea96,2020-01-10,1985.88
ec1e,f106,2019-04-10,154.10
bd8e,3f16,2019-07-15,1595.00
98f8,6202,2019-09-16,879.10
cae0,03f5,2019-10-07,94.28
f658,4afd,2019-07-25,2224.14
b7bb,991d,2019-11-08,9.13
a58c,e340,2019-09-30,562.00
9fe3,b99d,2019-07-15,460.00
7b56,5e38,2019-04-29,498.00
40ee,c16a,2019-11-04,1257.96
b529,1209,2019-09-13,459.51
8ec3,d010,2019-09-12,124.95
7a09,6081,2019-03-08,1129.82
ba19,06fe,2019-12-13,426.31
dce8,40db,2019-11-21,761.16
a4ae,a884,2020-01-15,1136.06
f658,f29c,2019-02-07,0.93
92d6,912d,2019-02-11,1410.60
5d09,e49b,2019-12-30,509.00
579c,ccb0,2019-02-28,1190.10
dce8,a36e,2019-06-06,1136.23
cba4,52c4,2019-10-03,956.99
e2b6,01ce,2019-01-15,840.00
ad81,6805,2019-12-18,1450.35
9119,3ef8,2020-01-10,1646.14
2443,460b,2019-11-21,650.00
f658,6065,2019-02-25,2345.75
e1c9,f3d9,2019-10-16,709.50
cba4,2288,2019-04-10,989.32
7fbc,c4ca,2019-12-02,276.99
8ec3,c4ca,2019-11-04,794.00
00f0,e340,2019-09-05,821.24
ba19,5e38,2019-11-27,528.52
4270,1eb5,2019-06-07,4.10
f658,3eb2,2019-07-05,1048.34
414f,20b5,2019-06-03,1565.04
7020,0887,2019-03-29,752.91
7fbc,3a20,2019-05-30,887.89
7b56,5e38,2019-02-28,628.00
1833,f106,2019-12-19,513.27
2420,f3b7,2019-01-08,960.60
e0c3,a3ab,2019-02-20,820.80
579c,ccb0,2019-03-29,145.52
dce8,912d,2019-06-21,631.00
e1c9,6364,2019-07-25,573.38
